feature,importance_mean,importance_std
f16,0.08471111111111114,0.004334719626306077
f01,0.03745925925925932,0.003219632846349861
f23,0.01852592592592598,0.001975557083141792
f07,0.014637037037037079,0.0020243239654627386
f30,0.013985185185185241,0.0021953436195005453
f08,0.01388888888888894,0.0016307235385739874
f12,0.013725925925925985,0.0018818459839397691
f19,0.013459259259259311,0.0016774302640674285
f15,0.011992592592592643,0.001470123125028466
f29,0.011874074074074122,0.0024266580744206397
f18,0.011422222222222271,0.001965630612221852
f02,0.010155555555555614,0.002084747668065887
f13,0.009451851851851907,0.001814194905462704
f05,0.009348148148148197,0.0021514151402330815
f34,0.009118518518518566,0.0014978539746892665
f09,0.00902222222222228,0.00146126953091321
f04,0.006155555555555603,0.0012507117315316712
f14,0.005451851851851904,0.0009933661993623874
f22,0.0049851851851852366,0.0011076736952230913
f11,0.004014814814814868,0.0012803463180333307
x_int_1,0.003607407407407448,0.001148530402317678
f33,0.0029259259259259798,0.0011419185838430891
f35,0.0011481481481482056,0.000856989338920465
f24,0.0005629629629630059,0.0005758753103874755
f31,0.00021481481481485284,0.0004571636777543486
f27,4.444444444448396e-05,0.0005485484024169836
f03,-1.4814814814771242e-05,0.0005349768914153302
f32,-2.962962962957209e-05,0.0005643258356960138
f21,-3.703703703698731e-05,0.0005261345439134592
f26,-0.00011111111111105817,0.0004006168083848651
f10,-0.0001481481481480973,0.00044567730241453423
x_int_2,-0.00015555555555551252,0.0007786238784117234
f17,-0.00016296296296290923,0.0004515481675297044
f28,-0.00025185185185180317,0.00043972806161941434
f20,-0.0005037037037036359,0.0003342374569682453
f06,-0.000585185185185122,0.00048511449866765044
f25,-0.0010222222222221764,0.0005339502604723137
