feature,importance
f16,0.10052709437721451
f01,0.04640130858315526
f19,0.04502998563051773
f12,0.04131494072066908
f23,0.04006205121207431
f04,0.03832867650359657
f02,0.037105510508089225
f30,0.03487413387026795
f07,0.03442278723924732
f05,0.03261730144221316
f08,0.03120391359909219
f18,0.031110054644405832
f29,0.03086640611817126
f15,0.02959399122929216
f13,0.029327294144536612
f11,0.02858997730665088
f14,0.02796389183589805
f34,0.027469173450779674
f22,0.026629167520724466
f33,0.02543059754040868
f09,0.024150488571289527
f35,0.023698562222283847
x_int_1,0.021834721193537514
x_int_2,0.017868201015951324
f27,0.014170938302233529
f03,0.013640354822235723
f28,0.013629285768729436
f25,0.0134108591145203
f32,0.013357965938865153
f17,0.013316356723122773
f10,0.01327548322044577
f31,0.013272321114422704
f24,0.013262925219072677
f21,0.013209835020046303
f06,0.013169337203103634
f26,0.01305644834676211
f20,0.01280765872637276
